pygame 2.6.1 (SDL 2.28.4, Python 3.9.23)
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode 11100, Total Reward: -94.18297400000002, Epsilon: 0.514, LC: 17
Episode 11200, Total Reward: -82.241887, Epsilon: 0.511, LC: 23
Episode 11300, Total Reward: -87.15348800000001, Epsilon: 0.508, LC: 37
Episode 11400, Total Reward: -95.531873, Epsilon: 0.505, LC: 31
Episode 11500, Total Reward: -100.035701, Epsilon: 0.502, LC: 32
Episode 11600, Total Reward: -121.42367800000001, Epsilon: 0.499, LC: 32
Episode 11700, Total Reward: -114.58505, Epsilon: 0.496, LC: 17
Episode 11800, Total Reward: -71.866207, Epsilon: 0.493, LC: 31
Episode 11900, Total Reward: -119.528676, Epsilon: 0.490, LC: 19
Episode 12000, Total Reward: -113.965909, Epsilon: 0.487, LC: 28
Episode 12100, Total Reward: -96.00410300000001, Epsilon: 0.484, LC: 21
Episode 12200, Total Reward: -93.241848, Epsilon: 0.481, LC: 17
Episode 12300, Total Reward: -64.97186, Epsilon: 0.478, LC: 25
Episode 12400, Total Reward: -95.72730700000001, Epsilon: 0.475, LC: 31
Episode 12500, Total Reward: -98.945715, Epsilon: 0.472, LC: 26
Episode 12600, Total Reward: -81.900777, Epsilon: 0.470, LC: 29
Episode 12700, Total Reward: -82.65562100000001, Epsilon: 0.467, LC: 38
Episode 12800, Total Reward: -85.241574, Epsilon: 0.464, LC: 30
Episode 12900, Total Reward: -93.21676200000002, Epsilon: 0.461, LC: 42
Episode 13000, Total Reward: -97.62924800000002, Epsilon: 0.458, LC: 35
Episode 13100, Total Reward: -100.738988, Epsilon: 0.456, LC: 38
Episode 13200, Total Reward: -69.86336500000002, Epsilon: 0.453, LC: 44
Episode 13300, Total Reward: -91.62806800000001, Epsilon: 0.450, LC: 37
Episode 13400, Total Reward: -77.70022300000001, Epsilon: 0.447, LC: 32
Episode 13500, Total Reward: -100.286854, Epsilon: 0.445, LC: 34
Episode 13600, Total Reward: -103.444967, Epsilon: 0.442, LC: 35
Episode 13700, Total Reward: -109.69216, Epsilon: 0.440, LC: 40
Episode 13800, Total Reward: -119.051456, Epsilon: 0.437, LC: 27
Episode 13900, Total Reward: -69.883047, Epsilon: 0.434, LC: 30
Episode 14000, Total Reward: -97.834241, Epsilon: 0.432, LC: 44
Episode 14100, Total Reward: -77.59973600000001, Epsilon: 0.429, LC: 27
Episode 14200, Total Reward: -74.23385300000001, Epsilon: 0.427, LC: 30
Episode 14300, Total Reward: -113.480515, Epsilon: 0.424, LC: 42
Episode 14400, Total Reward: -103.32674, Epsilon: 0.421, LC: 33
Episode 14500, Total Reward: -74.57773300000001, Epsilon: 0.419, LC: 37
Episode 14600, Total Reward: -95.44747000000001, Epsilon: 0.416, LC: 40
Episode 14700, Total Reward: -80.33135800000001, Epsilon: 0.414, LC: 39
Episode 14800, Total Reward: -100.923471, Epsilon: 0.411, LC: 56
Episode 14900, Total Reward: -99.540334, Epsilon: 0.409, LC: 50
Episode 15000, Total Reward: -87.06409500000001, Epsilon: 0.407, LC: 44
Episode 15100, Total Reward: -106.93683700000001, Epsilon: 0.404, LC: 41
Episode 15200, Total Reward: -98.520616, Epsilon: 0.402, LC: 44
Episode 15300, Total Reward: -91.74366800000001, Epsilon: 0.399, LC: 42
Episode 15400, Total Reward: -106.357888, Epsilon: 0.397, LC: 32
Episode 15500, Total Reward: -112.61423300000001, Epsilon: 0.395, LC: 35
Episode 15600, Total Reward: -100.112908, Epsilon: 0.392, LC: 45
Episode 15700, Total Reward: -80.92222900000002, Epsilon: 0.390, LC: 27
Episode 15800, Total Reward: -90.945441, Epsilon: 0.387, LC: 43
Episode 15900, Total Reward: -85.68774700000002, Epsilon: 0.385, LC: 44
Episode 16000, Total Reward: -115.641369, Epsilon: 0.383, LC: 64
Episode 16100, Total Reward: -113.731104, Epsilon: 0.381, LC: 40
Episode 16200, Total Reward: -118.328073, Epsilon: 0.378, LC: 35
Episode 16300, Total Reward: -104.871487, Epsilon: 0.376, LC: 47
Episode 16400, Total Reward: -104.94828000000001, Epsilon: 0.374, LC: 55
Episode 16500, Total Reward: -102.151373, Epsilon: 0.372, LC: 49
Episode 16600, Total Reward: -86.704688, Epsilon: 0.369, LC: 60
Episode 16700, Total Reward: -91.221266, Epsilon: 0.367, LC: 52
Episode 16800, Total Reward: -84.429212, Epsilon: 0.365, LC: 44
Episode 16900, Total Reward: -107.52410300000003, Epsilon: 0.363, LC: 52
Episode 17000, Total Reward: -80.83504900000001, Epsilon: 0.361, LC: 60
Episode 17100, Total Reward: -93.567017, Epsilon: 0.358, LC: 57
Episode 17200, Total Reward: -122.94431700000001, Epsilon: 0.356, LC: 62
Episode 17300, Total Reward: -96.287131, Epsilon: 0.354, LC: 64
Episode 17400, Total Reward: -79.858714, Epsilon: 0.352, LC: 50
Episode 17500, Total Reward: -83.170263, Epsilon: 0.350, LC: 49
Episode 17600, Total Reward: -83.020989, Epsilon: 0.348, LC: 62
Episode 17700, Total Reward: -102.28789700000002, Epsilon: 0.346, LC: 46
Episode 17800, Total Reward: -91.306647, Epsilon: 0.344, LC: 81
Episode 17900, Total Reward: -102.080127, Epsilon: 0.342, LC: 67
Episode 18000, Total Reward: -102.003898, Epsilon: 0.340, LC: 55
Episode 18100, Total Reward: -108.23099500000001, Epsilon: 0.338, LC: 54
Episode 18200, Total Reward: -92.207167, Epsilon: 0.336, LC: 65
Episode 18300, Total Reward: -90.042151, Epsilon: 0.334, LC: 51
Episode 18400, Total Reward: -113.517937, Epsilon: 0.332, LC: 59
Episode 18500, Total Reward: -89.081486, Epsilon: 0.330, LC: 62
Episode 18600, Total Reward: -101.369494, Epsilon: 0.328, LC: 68
Episode 18700, Total Reward: -112.52247700000001, Epsilon: 0.326, LC: 70
Episode 18800, Total Reward: -95.68129700000001, Epsilon: 0.324, LC: 40
Episode 18900, Total Reward: -106.275698, Epsilon: 0.322, LC: 72
Episode 19000, Total Reward: -90.07736, Epsilon: 0.320, LC: 63
Episode 19100, Total Reward: -93.370198, Epsilon: 0.318, LC: 61
Episode 19200, Total Reward: -103.101087, Epsilon: 0.316, LC: 81
Episode 19300, Total Reward: -89.55912000000001, Epsilon: 0.314, LC: 93
